                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202005081230   92  4     0      3      7     33     69    121     94     80    139
202005081300   91  4     0      2     10     24     44     94     89    124    148
202005081330   89  4     0      2      5     35     82     83     83     76    138
202005081400   92  4     0      2      8     29     50    106    123     92    140
202005081430  100  9     0      2      7     22     87    115    189    105    140
202005081500   97  9     0      2      7     29     65    139    150     89    121
202005081530  101 11     0      5      8     39     69    198    146     91    112
202005081600   96 11     1      3      5     32     50    181    127     86    109
202005081630   99  9     1      3     11     24     53    172    183    104     98
202005081700   93 11     1      3      4     40     56    156    142     77     92
202005081730   96  9     0      2      6     35     56    141    167     84     95
202005081800  107  9     1      3      7     42     85    161    242    108     97
202005081830  105 11     1      3     10     24     58    219    196    114     89
202005081900  105  9     0      4      5     36     47    155    220    122    114
202005081930   99  9     1      3      4     15     44     93    198    141    130
202005082000  100  9     0      5      6     23     54    142    155    108    137
202005082030   95  9     1      4      7     19     34     99    164    109    135
202005082100   92  4     1      4      6     46     40     85     85     95    165
202005082130   96  4     0      3      9     41     65     72    116    109    162
202005082200   96  4     1      3      7     25     46     95     95    135    177
202005082230   93  4     1      5      8     33     54     72     97    113    162
202005082300   90  4     1      3      6     31     30     60     87     95    195
202005082330   96  4     1      3      4     36     48     95     91    115    185
202005090000   86  4     1      3      4     36     31     58     66     90    176
202005090030   83  4     1      6      8     40     45     40     43     88    156
202005090100   85  4     1      5     11     42     47     60     61     59    170
202005090130   86  4     1      4      5     33     42     95     63     81    144
202005090200   81  4     1     10      9     20     25     63     65     67    154
202005090230   84  4     1      6      6     32     40     79     80     62    145
202005090300   81  4     1      6      9     22     34     92     67     61    126
202005090330   79  4     1      6      9     48     37     64     46     53    131
202005090400   76  4     1      5      4     21     31     50     77     66    119
202005090430   79  4     1      8     10     23     42     73     81     54    112
202005090500   79  4     1      6      8     39     46     91     67     50     97
202005090530   80  9     2      9     10     20     37     75    105     56     97
202005090600   80 11     1      6      9     33     49     93     75     67     77
202005090630   76  9     2      6      9     45     27     69     84     58     74
202005090700   76  9     2     12     12     25     41     60     87     53     74
202005090730   80  9     1     11      6     21     47     63     94     71     90
202005090800   82  9     1      9      8     22     39     92    102     72     86
202005090830   82  9     3     12     14     40     59     36     98     72     83
202005090900   77  7     2     10     11     43     31     31     70     93     85
202005090930   79  7     2     11     23     31     35     25     72     95     95
202005091000   77  4     2     12     19     29     36     37     65     82     98
202005091030   74  4     2     14      9     23     52     39     55     64     89
202005091100   80  4     2     10     10     35     63     44     70     86     93
202005091130   78  4     2     12     11     38     50     33     59     88     89
202005091200   81  7     2     13     10     42     49     44     37    109    102
202005091230   76  4     2      9     18     28     47     32     54     76    102
202005091300   74  4     2     10     16     27     39     38     58     58    102
202005091330   78  4     2     19     11     31     36     41     68     75    103
202005091400   82  4     3     14     11     33     41     53     68     81    129
202005091430   81  4     3     11     25     41     71     49     57     54    105
202005091500   78  4     2     12     18     29     46     51     73     58     98
202005091530   80  4     3     11     22     16     43     61     86     55    114
202005091600   83  9     2     10     35     40     55     75     82     58     81
202005091630   79  4     3     12     16     23     56     66     78     65     83
202005091700   80  9     2     13     15     28     51     64     87     65     78
202005091730   84  9     2     15     15     32     60     69    129     61     77
202005091800   83  9     2     16     46     33     39     60    109     67     68
202005091830   89  9     2     17     25     37     58     75    117     97     72
202005091900   84  9     4     20     16     27     45     63    117     90     73
202005091930   88  9     4     18     21     35     57     68    120     98     67
202005092000   88  9     2     10     46     30     65     59    102    102     69
202005092030   96  7     3     20     35     41     97     64    108    116     93
202005092100   94  7     3     33     48     27     94     41    102    107     90
202005092130   94  7     3     37     53     41     43     59    111    113     95
202005092200   86  7     4     24     35     46     33     54     85     95     87
202005092230   86  7     4     24     25     42     71     43     64    113     79
202005092300   87  7     4     34     42     49     58     47     76     86     85
202005092330   83  4     4     25     27     37     69     45     66     65     95
202005100000   86  4     3     31     32     79     51     37     70     62     95
202005100030   86  7     6     32     62     69     39     28     51     94     84
202005100100   90 15     6     48     57     82     62     42     61     67     81
202005100130   91 13     6     66     60     62     94     39     51     56     87
202005100200   83 15     3     31     52     77     51     40     57     45     77
202005100230   84 13     2     25     57     54     92     39     45     42     87
202005100300   87 17     6     45     87     68     83     30     50     44     63
202005100330   89 17     7     30    102     77     78     56     46     42     55
202005100400   84 17     3     43     95     78     73     34     38     29     49
202005100430   89 17     4     49    118     93     58     43     36     31     61
202005100500   86 17     4     52    113     83     53     44     37     30     43
202005100530   77 13     5     35     57     34     86     34     37     38     47
202005100600   98 17     5     56    126    118    103     61     50     36     49
202005100630   96 17     6     51    120     97    120     36     56     39     50
202005100700   91 15     4     48    104    130     60     54     44     33     39
202005100730   86 15     3     40     85     91     79     49     51     27     44
202005100800   98 13     5     64    114    119    151     37     36     36     38
202005100830  102 15     4     51     86    191    120     78     43     35     41
202005100900   97 13     4     46    128    113    137     38     41     46     37
202005100930  108 15     8     74    133    163    151     75     43     38     42
202005101000   93 15     5     73     95    112     90     44     48     45     37
202005101030   91 15     5     28     77    123    105     50     48     47     37
202005101100  115 17     5     72    210    178    175     61     32     41     46
202005101130   99 13     9     58     92    127    146     57     54     36     40
202005101200   97 15     4     45     66    166    146     43     46     37     42
202005101230  115 15     5     65    168    217    161     62     63     46     39
202005101300  125 13     5     70    113    259    334     71     48     38     43
202005101330  115 15     5     52     94    278    188     84     56     33     36
202005101400  129 13     7     74    157    266    303     98     54     33     41
202005101430  113 13     7     53    127    160    215    123     49     27     43
202005101500  130 13     6     65    143    284    326    109     42     28     42
202005101530  122 15     6     90    114    284    202    101     52     29     44
202005101600  121 13     5     75    115    243    271     97     38     26     41
202005101630  122 13     4     57     85    206    288    170     54     27     45
202005101700  128 15     5     64     94    272    245    208     60     33     46
202005101730  130 13     5     62     99    275    381    124     42     29     44
202005101800  124 13     5     69    134    176    262    185     47     33     45
202005101830  135 13     4     70    125    269    321    210     51     33     51
202005101900  148 15     6     77    184    510    284    167     61     40     47
202005101930  128 15     6     68    130    290    248    136     51     38     54
202005102000  138 15     6     59    149    411    202    223     54     37     52
202005102030  149 13     9    128    259    301    313    194     84     44     55
202005102100  132 11     9    108    154    187    212    232     75     43     67
202005102130  122 15     4     56    103    248    157    163     61     51     81
202005102200  152 15     6    161    156    433    230    212     95     49     96
202005102230  133 15     6    123    174    262    231    114     55     45     92
202005102300  120 15     9     94    138    196    141    131     65     42     90
202005102330  138 15     5    156    205    349    177    113     58     38     84
202005110000  131 15     8     72     99    426    120    164     62     39     86
202005110030  135 15     5     87    219    354    189     97     52     37     87
202005110100  132 15     6    166    153    307    162    102     51     26     99
202005110130  130 15     6    162    154    268    201     94     36     21    103
202005110200  141 15     5    185    157    399    168    134     61     23    106
202005110230  126 15     4     74    154    315    146    107     66     22    101
202005110300  130 17     6    130    260    246    145     94     55     24     95
202005110330  133 15     7     92    252    299    137    118     66     30     98
202005110400  135 15     4    111    185    339    198     98     64     18    118
202005110430  145 15     9    137    264    369    212    138     59     18    114
202005110500  127 15     7    122    200    203    177     84     53     18    139
202005110530  135 15     5    134    247    301    159     92     53     19    133
202005110600  138 17     5     73    347    289    169    121     61     13    105
202005110630  124 15     5     83    157    272    149    118     58     18    109
