                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202007100400   73  7     0      1      1     27     33     36     49     95     93
202007100430   83  4     0      1      2     52     88     37     41    105    111
202007100500   82  4     0      1      2     33     84     43     47     96    116
202007100530   72  4     0      1      2     25     54     44     44     67     94
202007100600   78  4     0      1      1     41     80     30     45     89     94
202007100630   80 13     0      1      3     24    105     29     37    102     99
202007100700   80  4     0      1      1     38     85     39     48     93     97
202007100730   82  4     0      1      2     39     96     38     56     76    109
202007100800   80 13     0      1      2     37     97     43     49     86     88
202007100830   77  4     0      2      2     24     76     47     40     85    100
202007100900   79  4     0      2      1     30     96     41     29     92    105
202007100930   74  4     0      2      1     25     63     25     29     82    110
202007101000   76  4     0      2      2     23     90     27     30     82    105
202007101030   71  4     0      1      2     18     64     32     29     68    107
202007101100   74 13     0      1      4     22    100     40     25     62     91
202007101130   73  4     0      1      2     27     85     45     32     53     86
202007101200   71 13     0      1      2     20     85     31     35     64     80
202007101230   75 13     0      2      2     34    116     34     45     49     70
202007101300   68 13     0      1      1     11     83     33     48     45     69
202007101330   72 13     0      1      2     13     79     55     54     59     58
202007101400   72 13     0      1      1     19     98     33     40     67     65
202007101430   73 13     0      2      2     30    100     40     40     65     61
202007101500   72  7     0      1      2     13     58     57     58     74     67
202007101530   72 13     0      2      1     19     87     50     25     67     70
202007101600   73  7     0      2      1     26     67     34     62     72     69
202007101630   69  4     0      2      2     22     61     55     33     54     73
202007101700   73  4     0      1      1     13     76     49     35     67     95
202007101730   68  4     0      1      1      8     70     43     33     54     81
202007101800   75  4     0      2      1     18     76     63     45     70     83
202007101830   70  4     0      1      1     24     72     44     31     51     86
202007101900   70  4     0      2      1     14     67     54     28     58     84
202007101930   67  4     0      1      1     19     54     42     40     45     84
202007102000   72  4     0      2      2      6     73     42     45     72     81
202007102030   75 13     0      2      2     14    121     49     41     51     71
202007102100   69 13     0      1      1     11     83     55     22     48     75
202007102130   67  4     0      2      2     22     63     48     30     34     85
202007102200   69 13     0      2      1     18     93     62     23     29     69
202007102230   67 13     0      1      1     11     99     32     31     31     66
202007102300   69 13     0      2      1     10    101     52     34     25     64
202007102330   68  4     0      2      2     16     58     62     37     34     73
202007110000   64  4     0      1      1     13     52     41     29     40     69
202007110030   73 11     0      2      1     18     72     74     49     35     71
202007110100   75  4     0      2      1     18     85     55     37     55     92
202007110130   79 13     0      1      2     14    104     70     52     61     84
202007110200   73  4     0      1      1     11     67     65     48     53     83
202007110230   82 13     0      1      1      7     98     74     51     91     91
202007110300   74  7     0      2      2      7     55     56     44     89     83
202007110330   72  4     0      2      2      9     54     50     46     62    101
202007110400   75  4     0      1      1      6     64     61     50     58    107
202007110430   74  4     0      2      2      7     48     60     49     71     99
202007110500   73  4     0      1      2     13     77     40     33     62    102
202007110530   70  4     0      2      2      7     62     56     38     54     88
202007110600   74  4     0      2      1     11     70     72     32     43    110
202007110630   66  4     0      1      1      5     31     48     43     47     99
